run_folder,result_folder,Noise Level,MSE Loss,Relative L2 Loss,Physics Loss
fno,fno,0.0,4.393399e-01,6.814208e-02,1.947275e-01
fno,fno,0.01,4.618426e-01,7.053688e-02,2.228357e-01
fno,fno,0.05,1.612181e+00,1.426997e-01,1.078869e+00
fno,fno,0.1,1.105419e+01,3.820742e-01,5.459153e+00
fno,fno,0.2,2.680068e+01,5.949847e-01,1.015862e+01
fno,fno,0.5,3.777653e+01,7.051494e-01,1.274833e+01
fno,fno,1.0,3.777247e+01,7.052673e-01,1.409755e+01
pino,pino,0.0,5.266883e-01,7.495085e-02,2.530263e-01
pino,pino,0.01,5.294060e-01,7.522389e-02,2.562496e-01
pino,pino,0.05,6.075168e-01,8.212669e-02,3.269536e-01
pino,pino,0.1,9.489865e-01,1.063953e-01,6.222086e-01
pino,pino,0.2,2.802902e+00,1.892231e-01,1.969108e+00
pino,pino,0.5,1.074815e+01,3.750562e-01,5.520047e+00
pino,pino,1.0,2.117183e+01,5.275314e-01,8.070115e+00
